Name,Picture,Diameter (km) ( geometric mean ),Dimensions (km),Mean distance from Sun (in AU ),Inclination ( ° ),Date discovered,Discoverer,Class
1 Ceres,,939.4 ± 0.2,964.4 × 964.2 × 891.8,2.766,10.6,"January 1, 1801","Piazzi, G.",G
4 Vesta,,525.4 ± 0.2,572.6 × 557.2 × 446.4 ± 0.2,2.362,7.14,"March 29, 1807","Olbers, H. W.",V
2 Pallas,,511 ± 4 [ 1 ],568×530×450,2.773,34.9,"March 28, 1802","Olbers, H. W.",B
10 Hygiea,,433 ± 8 [ 1 ],450×430×424,3.139,5.1,"April 12, 1849","de Gasparis, A.",C
704 Interamnia,,332 ± 5 [ 1 ],362×348×310,3.062,17.3,"October 2, 1910","Cerulli, V.",F
52 Europa,,319 ± 4 [ 1 ],378×336×255,3.095,7.48,"February 4, 1858","Goldschmidt, H.",C
511 Davida,,298 ± 4 [ 1 ],359×293×253,3.168,15.9,"May 30, 1903","Dugan, R. S.",C
87 Sylvia,,271 ± 5 [ 1 ],363×249×191 or 374×248×194,3.485,10.9,"May 16, 1866","Pogson, N. R.",X
15 Eunomia,,270 ± 3 [ 1 ],357×255×212,2.643,11.75,"July 29, 1851","de Gasparis, A.",S
31 Euphrosyne,,268 ± 4 [ 1 ],294×280×248,3.149,26.3,"September 1, 1854","Ferguson, J.",C
65 Cybele,,263 ± 3,297 × 291 × 213,3.439,3.56,"March 8, 1861","Tempel, E. W.",C
624 Hektor,,256 ± 12 (if bilobe),403 × 201,5.235,18.66,"February 10, 1907","Kopff, A.",D
3 Juno,,254 ± 2 [ 1 ],288×250×225,2.672,12.98,"September 1, 1804","Harding, K. L.",S
451 Patientia,,254 ± 3,,3.059,15.2,"December 4, 1899","Charlois, A.",
107 Camilla,,254 ± 12 [ 3 ],,3.476,10,"November 17, 1868","Pogson, N. R.",C
324 Bamberga,,227 ± 3 [ 1 ],234×224×225,2.684,11.1,"February 25, 1892","Palisa, J.",C
16 Psyche,,223 ± 3 [ 1 ],279×232×189 ± 10%,2.924,3.1,"March 17, 1852","de Gasparis, A.",M
88 Thisbe,,218 ± 3 [ 1 ],255×232×193,2.769,5.22,"June 15, 1866","Peters, C. H. F.",B
48 Doris,,215 ± 3 [ 1 ],257×211×185,3.108,6.55,"September 19, 1857","Goldschmidt, H.",C
19 Fortuna,,211 ± 2 [ 1 ],225×205×195,2.442,1.57,"August 22, 1852","Hind, J. R.",G
121 Hermione,,209 ± 5 ? [ 4 ],,3.457,7.6,"May 12, 1872","Watson, J. C.",C
24 Themis,,208 ± 3 [ 1 ],232×220×176,3.136,0.76,"April 5, 1853","de Gasparis, A.",C
94 Aurora,,205 ± 4 ? (< 200 km) [ 1 ],225×173,3.160,7.97,"September 6, 1867","Watson, J. C.",C
29 Amphitrite,,204 ± 2 [ 1 ],222×209×183,2.554,6.08,"March 1, 1854","Marth, A.",S
13 Egeria,,202 ± 3 [ 1 ],238×199×182,2.576,16.54,"November 2, 1850","de Gasparis, A.",G
130 Elektra,,199 ± 2 [ 1 ],262×205×164,3.127,22.78,"February 17, 1873",C. H. F. Peters,C
7 Iris,,199 ± 10 [ 1 ],268×234×180 [ 5 ],2.386,5.52,"August 13, 1847","Hind, J. R.",S
6 Hebe,,195 ± 3 [ 1 ],205x185x170,2.426,14.75,"July 1, 1847","Hencke, K. L.",S
375 Ursula,,192 ± 4,,3.126,15.94,"September 18, 1893","Charlois, A.",C
702 Alauda,,191 ± 2,,3.195,20.59,"July 16, 1910","Helffrich, J.",C / B
45 Eugenia,,188 ± 2 [ 1 ],252×191×138,2.720,6.61,"June 27, 1857","Goldschmidt, H.",F
41 Daphne,,187 ± 13 [ 1 ],235×183×153,2.765,15.77,"May 22, 1856","Goldschmidt, H.",C
154 Bertha,,186 ± 2,,3.195,20.972,"November 4, 1875","Henry, P. M.",C
423 Diotima,,176 ± 4,,3.065,11.23,"December 7, 1896","Charlois, A.",C
259 Aletheia,,174 ± 1,,3.135,10.81,"June 28, 1886","Peters, C. H. F.",C / P / X
372 Palma,,174 ± 3,,3.149,23.83,"August 19, 1893","Charlois, A.",B
9 Metis,,173 ± 2 [ 1 ],222×182×130,2.385,5.58,"April 25, 1848","Graham, A.",S
532 Herculina,,168 ± 1,,2.772,16.31,"April 20, 1904","Wolf, M.",S
354 Eleonora,,165 ± 3 [ 1 ],191×162×144,2.798,18.4,"January 17, 1893",Auguste Charlois,S
128 Nemesis,,163 ± 5 [ 1 ],178×163×147,2.751,6.25,"November 25, 1872","Watson, J. C.",C
(4:1 resonance) [sort by 'Mean Distance from Sun' to place in table],2.06,(defines inner edge of main belt),,,,,,
(3:1 resonance),2.50,(separates inner from middle belt),,,,,,
(5:2 resonance),2.82,(separates middle from outer belt),,,,,,
(7:3 resonance),2.95,,,,,,,
(2:1 resonance),3.27,(defines outermost belt),,,,,,
(1:1 resonance),5.20,(Trojan asteroids – defines outer edge of main belt),,,,,,
